Designator,Mid X,Mid Y,Rotation,Layer
C1,152.49,-90.255,270.0,top
C2,137.925,-87.22,0.0,top
D1,138.45,-90.36,0.0,top
D2,132.6325,-90.5,0.0,top
J1,159.27,-90.29,0.0,top
J2,141.96,-98.19,90.0,top
J3,141.96,-82.94,90.0,top
J4,155.42,-95.625,180.0,top
L1,146.15,-88.75,180.0,top
R1,137.1,-93.9775,90.0,top
R2,139.11,-93.97,270.0,top
R3,132.6475,-93.02,0.0,top
U1,147.8525,-93.96,180.0,top
